% Johnson, T.C.; Werne, J.P.; Brown, E.T.; Abbott, A.; Berke, M.; Steinman,
% B.A.; Halbur, J.; Contreras, S.; Grosshuesch, S.; Deino, A.L.; Lyons,
% R.P.; Scholz, C.A.; Schouten, S.; Sinninghe Damste, J.S. (2016): A
% Progressively Wetter Climate In Southern East Africa Over The Past 1.3
% Million Years. ­doi:10.1038/nature19065 Nature
%
% Re-scaled Ca 20 pt smth
% YBP	Ca 20 pt smth
43965.61299	0.7789
43997.24845	0.780525
44028.88391	0.7813
44060.51937	0.781025
44092.15484	0.778775
44123.7903	0.7812
44155.42576	0.776775
44187.06122	0.77955
44218.69668	0.7813
44250.33214	0.781475
44281.9676	0.78275
44313.60306	0.7782
44345.23852	0.773275
44376.87398	0.77365
44408.50944	0.770375
44440.1449	0.776025
44471.78036	0.780725
44503.41583	0.782125
44535.05129	0.780875
44566.68675	0.7838
44598.32221	0.781025
44629.95767	0.780125
44661.59313	0.7774
44693.22859	0.77825
44724.86405	0.779425
44756.49951	0.7795
44788.13497	0.785275
44819.77043	0.788225
44851.40589	0.785875
44883.04135	0.7893
44914.67682	0.793875
44946.31228	0.79825
44977.94774	0.807675
45009.5832	0.812975
45041.21866	0.813325
45072.85412	0.812825
45104.48958	0.81015
45136.12504	0.8127
45167.7605	0.816425
45199.39596	0.8183
45231.03142	0.81735
45262.66688	0.816875
45294.30234	0.8203
45325.93781	0.8215
45357.57327	0.8221
45389.20873	0.8194
45420.84419	0.81815
45452.47965	0.818075
45484.11511	0.822375
45515.75057	0.819725
45547.38603	0.81705
45579.02149	0.817375
45610.65695	0.818275
45642.29241	0.810125
45673.92787	0.814275
45705.56333	0.81195
45737.1988	0.812975
45768.83426	0.80775
45800.46972	0.80335
45832.10518	0.801025
45863.74064	0.805225
45895.3761	0.80845
45927.01156	0.8091
45958.64702	0.806625
45990.28248	0.812325
46021.91794	0.816675
46053.5534	0.819975
46085.18886	0.81945
46116.82432	0.8202
46148.45979	0.825025
46180.09525	0.82645
46211.73071	0.83175
46243.36617	0.831275
46275.00163	0.8416
46306.63709	0.847425
46338.27255	0.85225
46369.90801	0.856
46401.54347	0.868
46433.17893	0.8776
46464.81439	0.883175
46496.44985	0.890025
46528.08531	0.892575
46559.72077	0.89505
46591.35624	0.907075
46622.9917	0.913025
46686.26262	0.9207
46717.89808	0.9269
46749.53354	0.93595
46781.169	0.9428
46812.80446	0.9475
46844.43992	0.958825
46876.07538	0.967775
46907.71084	0.978075
46939.3463	0.9862
46970.98176	0.990125
47002.61723	1.000875
47034.25269	1.009075
47065.88815	1.011075
47097.52361	1.0153
47129.15907	1.02095
47224.06545	1.02775
47239.88318	1.04325
47271.51864	1.0573
47303.1541	1.066875
47334.78956	1.077725
47366.42502	1.086675
47398.06049	1.098725
47429.69595	1.107475
47461.33141	1.118725
47492.96687	1.127025
47524.60233	1.129975
47556.23779	1.14865
47587.87325	1.24255
47619.50871	1.29375
47651.14417	1.29875
47682.77963	1.302775
47714.41509	1.3075
47746.05055	1.3157
47777.68601	1.320625
47809.32148	1.326575
47840.95694	1.326675
47872.5924	1.32435
48018.11552	1.32525
