%Depth	TC [%]	TIC [%]	TOC [%]
249.97	0.46	0.04	0.42
250.29	0.90	0.06	0.84
251.42	0.24	0.14	0.10
251.74	0.86	0.74	0.12
252.06	6.12	6.05	0.07
253.35	0.67	0.43	0.24
253.70	1.19	0.58	0.60
254.02	0.60	0.02	0.57
254.22	0.50	0.33	0.17
254.85	0.33	0.13	0.20
255.17	0.35	0.18	0.17
255.49	0.13	0.08	0.05
257.47	0.68	0.01	0.67
257.79	0.61	0.01	0.60
259.70	0.38	0.12	0.26
260.34	0.29	0.08	0.21
260.66	0.47	0.23	0.23
261.06	0.41	0.05	0.35
262.34	1.10	0.83	0.26
262.66	0.30	0.08	0.22
262.91	4.69	4.57	0.12
263.28	1.70	1.48	0.22
263.55	6.47	6.11	0.36
263.60	1.27	1.11	0.16
263.92	1.26	1.05	0.21
265.19	0.76	0.41	0.35
265.51	0.52	0.19	0.33
266.07	0.75	0.60	0.14
266.71	0.61	0.36	0.25
267.35	0.50	0.08	0.42
267.67	0.37	0.04	0.34
267.99	0.38	0.02	0.36
268.94	0.46	0.06	0.41
269.16	0.07	0.00	0.07
269.48	0.46	0.00	0.46
269.80	0.61	0.36	0.25
270.12	1.70	1.37	0.34
270.76	0.32	0.16	0.16
271.08	0.17	0.00	0.17
271.30	1.89	1.84	0.05
271.61	0.43	0.13	0.30
271.93	0.47	0.07	0.40
272.81	0.37	0.03	0.34
273.13	0.35	0.04	0.31
273.45	0.41	0.02	0.38
273.78	0.83	0.48	0.35
274.42	0.94	0.51	0.43
274.74	0.45	0.04	0.41
275.06	0.34	0.03	0.31
275.28	0.63	0.48	0.15
275.60	0.30	0.07	0.23
276.23	0.99	0.85	0.14
276.55	0.15	0.07	0.09
276.87	0.09	0.05	0.04
276.93	0.20	0.09	0.11
277.19	0.61	0.44	0.17
280.04	0.82	0.70	0.13
280.36	0.53	0.29	0.24
280.68	0.98	0.78	0.20
281.00	2.59	2.46	0.13
281.32	0.52	0.21	0.31
281.63	0.36	0.19	0.17
281.96	0.38	0.10	0.28
282.05	0.53	0.15	0.38
282.28	3.65	3.61	0.04
282.60	0.76	0.53	0.23
282.69	0.67	0.30	0.37
283.01	0.45	0.11	0.34
283.33	0.52	0.19	0.34
283.65	1.26	0.77	0.49
284.29	0.51	0.09	0.42
284.61	0.42	0.11	0.30
284.93	0.34	0.06	0.27
285.25	0.37	0.11	0.26
285.89	0.73	0.46	0.26
286.53	0.42	0.10	0.33
286.85	0.40	0.15	0.25
287.17	0.50	0.19	0.31
287.49	0.60	0.10	0.50
288.12	0.43	0.07	0.37
288.44	9.03	8.99	0.04
288.76	0.44	0.15	0.30
289.08	0.21	0.08	0.13
289.72	0.45	0.20	0.25
290.36	1.72	1.70	0.02
290.68	0.24	0.20	0.04
291.00	0.91	0.86	0.05
291.32	0.23	0.11	0.13
291.96	0.22	0.07	0.15
